SucrConsump,Injection,Exp_Idx
21.7,Saline,1
17,Saline,1
11.1,Saline,1
6.3,Saline,1
19.3,Saline,1
13.3,Saline,1
8.6,Saline,1
16.7,Saline,1
12.3,Saline,1
17.2,Saline,1
10.1,Saline,1
20.7,Saline,1
10.3,Saline,1
15.3,Saline,1
11.7,Saline,1
19.2,Saline,1
12.3,Saline,1
21.9,Saline,1
9,Saline,1
22,Saline,1
16.1,Saline,1
16.7,Saline,1
9,Saline,1
16.4,Saline,1
24.3,Saline,1
19.8,Saline,1
12.6,Saline,1
18.6,Saline,1
11.2,Saline,1
13.7,Saline,1
20.7,Saline,1
14.9,Saline,1
19.4,Saline,1
12.6,Saline,1
11.8,Saline,1
21.8,Saline,1
11.9,Saline,1
14.7,Saline,1
17.3,Saline,1
13,Saline,1
9.7,Saline,1
9.8,Saline,1
6.4,Saline,1
13.7,Saline,1
12.1,Saline,1
12.3,Saline,1
15.4,Saline,1
15.8,Saline,1
16.9,Saline,1
1.7,Saline,1
9.9,Saline,1
16,Saline,1
23.4,Saline,1
20.4,Saline,1
15.2,Saline,1
10.1,Saline,1
20.2,Saline,1
16.1,Saline,1
20.6,Saline,1
14.6,Saline,1
12.5,Saline,1
16.2,Saline,1
13.1,Saline,1
26.3,Saline,1
13.6,Saline,1
12,Saline,1
8.2,Saline,1
15.2,Saline,1
5.4,Saline,1
22.7,Saline,1
20.7,Saline,1
14.1,Saline,1
9.3,Saline,1
21.6,Saline,1
10.3,Saline,1
15.3,Saline,1
15.8,Saline,1
11.5,Saline,1
12.2,Saline,1
19.2,Saline,1
15.9,Saline,1
21.1,Saline,1
16.4,Saline,1
4.8,Saline,1
7.8,Saline,1
14.3,Saline,1
21.2,Saline,1
18.7,Saline,1
9.5,Saline,1
14.5,Saline,1
8.9,Saline,1
9.5,Saline,1
16.8,Saline,1
12.3,Saline,1
10.5,Saline,1
7.5,Saline,1
27.6,Saline,1
12.7,Saline,1
18.8,Saline,1
17,Saline,1
23.1,Saline,1
19.9,Saline,1
15.2,Saline,1
9.5,Saline,1
22.6,Saline,1
19,Saline,1
6.4,Saline,1
7.8,Saline,1
18,Saline,1
13.3,Saline,1
6.7,Saline,1
17.1,Saline,1
10.3,Saline,1
10.5,Saline,1
12.3,Saline,1
4.4,Saline,1
14.1,Saline,1
8.9,Saline,1
17.4,Saline,1
16,Saline,1
15.5,Saline,1
15.6,Saline,1
14.1,Saline,1
13.7,Saline,1
11.2,Saline,1
23.7,Saline,1
21.7,Saline,1
22.1,Saline,1
17.1,Saline,1
9.4,Saline,1
11.7,Saline,1
14.2,Saline,1
15.6,Saline,1
16.6,Saline,1
10.4,Saline,1
16.4,Saline,1
11.3,Saline,1
13.3,Saline,1
20.4,Saline,1
17.2,Saline,1
13.3,Saline,1
4.6,Saline,1
12.2,Saline,1
11,Saline,1
12.3,Saline,1
17.4,Saline,1
19.3,Saline,1
2.2,Saline,1
24.1,Saline,1
18.6,Saline,1
5.7,Saline,1
17.3,Saline,1
20.1,Saline,1
20.8,Saline,1
15.7,Saline,1
15.8,Saline,1
19.3,Saline,1
31.4,Saline,1
13.1,Saline,1
17.9,Saline,1
2.9,Saline,1
19.6,Saline,1
17.3,Saline,1
13.4,Saline,1
20.3,Saline,1
13.9,Saline,1
26.5,Saline,1
14.4,Saline,1
15,Saline,1
7.2,Saline,1
12,Saline,1
18,Saline,1
7.2,Saline,1
12.9,Saline,1
18.6,Saline,1
14.4,Saline,1
6.4,Saline,1
16.8,Saline,1
9.3,Saline,1
10.7,Saline,1
10,Saline,1
15.3,Saline,1
16.3,Saline,1
5.4,Saline,1
7,Saline,1
12.9,Saline,1
7.1,Saline,1
25,Saline,1
19.9,Saline,1
13.8,Saline,1
9.6,Saline,1
14.8,Saline,1
20.5,Saline,1
16.1,Saline,1
17.9,Saline,1
14.3,Saline,1
17.3,Saline,1
11.9,Saline,1
0.6,Saline,1
