Saline_1,Parg,PargYomb,Saline_2
21.7,49.1,8.7,4.4
17,36.9,12.1,21.1
11.1,41,3.3,20.7
6.3,33.8,10.7,19.8
19.3,56.8,22.6,16.2
13.3,63.8,5,19
8.6,42.8,17.8,22
16.7,40.6,12.6,18.8
12.3,44.7,21.2,15.9
17.2,54,25.7,8.2
10.1,28.1,3.9,18.6
20.7,63.7,30.2,18.1
10.3,60.2,12.2,15
15.3,39.4,25.3,20.1
11.7,44.8,7,23.2
19.2,58.8,11.4,12.8
12.3,38,11.1,23.8
21.9,43.4,9.6,16.1
9,60.4,10.1,14
22,35.1,7.7,10
16.1,17.1,4.8,5.3
16.7,47.2,16.1,18.4
9,47.2,15.5,23.2
16.4,43,8.4,20.4
24.3,49.8,14.1,10.1
19.8,56.4,20.1,18.7
12.6,40.1,11.2,25
18.6,37.5,14.5,16
11.2,45.8,17.3,21.2
13.7,36.6,14.6,10.9
20.7,54.2,22.2,9.6
14.9,64.5,30.2,18.7
19.4,51.9,21.3,21.7
12.6,70.7,11.2,6.8
11.8,51.4,10.9,18.6
21.8,44.4,24.1,14.4
11.9,43.2,18.1,14.1
14.7,47.5,27.5,15.6
17.3,52.7,11.4,19.2
13,49.3,14.8,22.6
9.7,39.5,12.8,18.3
9.8,30.9,2.5,13.2
6.4,19.8,11.5,19
13.7,45.7,9.9,12.5
12.1,49,19,20.5
12.3,36.6,23.8,9.6
15.4,44.4,15.8,11.8
15.8,66.7,15.6,17
16.9,55,13.8,9.4
1.7,41.6,16.7,15.4
9.9,30.3,21.2,11.4
16,58,5.6,20.5
23.4,45.6,19.1,16
20.4,48.3,7.3,15.7
15.2,54.4,20.1,13.7
10.1,42.4,8.6,10.5
20.2,61.2,34.5,21.3
16.1,38.2,18.8,14.2
20.6,47.8,4.3,8
14.6,57.3,27,16.2
12.5,51.9,27.2,14.2
16.2,61.6,28.6,14.7
13.1,36.8,16.4,13.9
26.3,53.6,12.9,11
13.6,28.4,10,17.2
12,48.4,11.5,19.7
8.2,50.7,3.3,4
15.2,34,14,19.5
5.4,51.7,3.2,21.3
22.7,40.2,15.3,24
20.7,67.2,20.9,19.7
14.1,64.1,10.4,21.1
9.3,48.3,13.5,20.1
21.6,52.7,24.8,4.4
10.3,48,16.9,15.3
15.3,55.7,17.5,18.2
15.8,35,15.6,22
11.5,59.5,7.3,9.4
12.2,54.1,8.7,11.4
19.2,43.7,2.4,7.1
15.9,47.4,18.9,2.3
21.1,62.2,13.9,16.6
16.4,39.4,17.3,18.4
4.8,64.9,10.8,13.5
7.8,40.7,31.9,17.4
14.3,31.3,21,15.3
21.2,38.5,17.9,6.8
18.7,49.2,18.1,11.3
